CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-22_00_00_00      badaguan       -3.66        2.86       0.017      294.47      998.97       97.67        0.44        1.00        1.00        0.00
2024-06-22_00_00_00       beizhai       -3.87        3.88      -0.078      294.85      999.28       98.25        0.19        0.00        1.00        0.00
2024-06-22_00_00_00    dengzhoulu       -3.04        3.04       0.001      294.92      999.05       98.47        0.44        1.00        1.00        0.00
2024-06-22_00_00_00       shangma       -2.99        5.35       0.001      295.71      998.90       98.39        0.06        0.00        1.00        0.00
2024-06-22_00_00_00    xingdenglu       -3.38        3.27      -0.037      295.21      998.99       98.16        0.15        0.76        1.00        0.00
2024-06-22_01_00_00      badaguan       -3.89        0.78       0.008      294.49      997.80       97.76        0.01        1.00        1.00        0.00
2024-06-22_01_00_00       beizhai       -3.00        3.05      -0.060      296.28      997.57       83.79        0.09        0.56        1.00        0.00
2024-06-22_01_00_00    dengzhoulu       -3.30        1.00      -0.004      294.99      997.80       98.74        0.01        1.00        1.00        0.00
2024-06-22_01_00_00       shangma       -1.97        1.73       0.001      295.26      997.76       98.79        0.01        1.00        1.00        0.00
2024-06-22_01_00_00    xingdenglu       -2.90        2.19      -0.029      295.21      997.62       97.97        0.06        1.00        1.00        0.00
2024-06-22_02_00_00      badaguan       -3.31        1.40       0.009      294.47      998.31       97.87        0.00        1.00        1.00        0.00
2024-06-22_02_00_00       beizhai       -2.72        3.66      -0.066      295.63      998.38       89.80        0.00        0.00        1.00        0.00
2024-06-22_02_00_00    dengzhoulu       -2.80        1.47      -0.002      294.95      998.33       98.82        0.00        1.00        1.00        0.00
2024-06-22_02_00_00       shangma       -1.33        2.64       0.000      295.17      998.28       98.85        0.00        1.00        1.00        0.00
2024-06-22_02_00_00    xingdenglu       -2.55        2.71      -0.025      295.30      998.23       95.34        0.00        0.71        0.98        0.00
2024-06-22_03_00_00      badaguan       -2.98        0.03      -0.001      294.39      997.35       98.35        0.01        1.00        1.00        0.00
2024-06-22_03_00_00       beizhai       -1.57        2.26      -0.041      296.08      997.62       92.79        0.00        0.79        1.00        0.00
2024-06-22_03_00_00    dengzhoulu       -2.31       -0.01      -0.006      294.93      997.39       98.95        0.01        1.00        1.00        0.00
2024-06-22_03_00_00       shangma       -0.62        0.95      -0.000      294.97      997.79       99.01        0.00        1.00        1.00        0.00
2024-06-22_03_00_00    xingdenglu       -1.50        0.91      -0.017      295.71      997.51       96.29        0.00        0.67        1.00        0.00
